nome;data_fundacao;unidade;cidade;grau_academico;situacao;modalidade;convenio;ativo;campus_instituto_id_campus_instituto
LICENCIATURA INTEGRADA EM BIOLOGIA E QUÍMICA (MONTE ALEGRE);01-01-2010;PARFOR;Monte Alegre;LICENCIATURA;SUSPENSO;Presencial;PARFOR;1;9
LICENCIATURA INTEGRADA EM BIOLOGIA E QUÍMICA (SANTARÉM);01-01-2010;PARFOR;Santarém;LICENCIATURA;SUSPENSO;Presencial;PARFOR;1;9
LICENCIATURA INTEGRADA EM BIOLOGIA E QUÍMICA (JURUTI);01-01-2010;PARFOR;Juruti;LICENCIATURA;SUSPENSO;Presencial;PARFOR;1;9
LICENCIATURA INTEGRADA EM BIOLOGIA E QUÍMICA (ÓBIDOS);01-01-2010;PARFOR;Óbidos;LICENCIATURA;SUSPENSO;Presencial;PARFOR;1;9
LICENCIATURA INTEGRADA EM BIOLOGIA E QUÍMICA (ALENQUER);01-01-2010;PARFOR;Alenquer;LICENCIATURA;SUSPENSO;Presencial;PARFOR;1;9
LICENCIATURA INTEGRADA EM BIOLOGIA E QUÍMICA (ORIXIMINÁ);01-01-2010;PARFOR;Oriximiná;LICENCIATURA;SUSPENSO;Presencial;PARFOR;1;9
LICENCIATURA INTEGRADA EM BIOLOGIA E QUÍMICA (ALMEIRIM);01-01-2010;PARFOR;Almeirim;LICENCIATURA;SUSPENSO;Presencial;PARFOR;1;9
LICENCIATURA INTEGRADA EM BIOLOGIA E QUÍMICA;01-01-2010;ICED;Santarém;LICENCIATURA;SUSPENSO;Presencial;;1;11
LICENCIATURA INTEGRADA EM HISTÓRIA E GEOGRAFIA (JURUTI);01-01-2010;PARFOR;Juruti;LICENCIATURA;SUSPENSO;Presencial;PARFOR;1;9
LICENCIATURA INTEGRADA EM HISTÓRIA E GEOGRAFIA (ITAITUBA);01-01-2010;PARFOR;Itaituba;LICENCIATURA;SUSPENSO;Presencial;PARFOR;1;9
LICENCIATURA INTEGRADA EM HISTÓRIA E GEOGRAFIA;01-01-2010;ICED;Santarém;LICENCIATURA;SUSPENSO;Presencial;;1;11
LICENCIATURA INTEGRADA EM HISTÓRIA E GEOGRAFIA (SANTARÉM);01-01-2010;PARFOR;Santarém;LICENCIATURA;SUSPENSO;Presencial;PARFOR;1;9
LICENCIATURA INTEGRADA EM HISTÓRIA E GEOGRAFIA (ALMEIRIM);01-01-2010;PARFOR;Almeirim;LICENCIATURA;SUSPENSO;Presencial;PARFOR;1;9
LICENCIATURA INTEGRADA EM HISTÓRIA E GEOGRAFIA (MONTE ALEGRE);01-01-2010;PARFOR;Monte Alegre;LICENCIATURA;SUSPENSO;Presencial;PARFOR;1;9
LICENCIATURA INTEGRADA EM HISTÓRIA E GEOGRAFIA (ALENQUER);01-01-2010;PARFOR;Alenquer;LICENCIATURA;SUSPENSO;Presencial;PARFOR;1;9
LICENCIATURA INTEGRADA EM HISTÓRIA E GEOGRAFIA (ORIXIMINÁ);01-01-2010;PARFOR;Oriximiná;LICENCIATURA;SUSPENSO;Presencial;PARFOR;1;9
LICENCIATURA INTEGRADA EM HISTÓRIA E GEOGRAFIA (ÓBIDOS);01-01-2010;PARFOR;Óbidos;LICENCIATURA;SUSPENSO;Presencial;PARFOR;1;9
LICENCIATURA INTEGRADA EM HISTÓRIA E GEOGRAFIA (TRONCO COMUM);01-01-2010;ICED;Santarém;LICENCIATURA;SUSPENSO;Presencial;;1;11
